ts,price_per_mwh,load_mw,renewable_mw
2023-01-01 00:00:00,35.34,6768.0,2216.7
2023-01-01 01:00:00,26.06,6566.7,2234.6
2023-01-01 02:00:00,36.33,7317.6,1996.9
2023-01-01 03:00:00,33.45,7968.9,2651.3
2023-01-01 04:00:00,33.28,7935.4,3270.8
2023-01-01 05:00:00,48.05,8702.4,2980.9
2023-01-01 06:00:00,50.92,9560.4,2347.9
2023-01-01 07:00:00,59.95,9683.2,1612.3
2023-01-01 08:00:00,55.31,9814.3,1885.9
2023-01-01 09:00:00,57.42,9467.9,1961.0
2023-01-01 10:00:00,58.07,9817.2,1661.6
2023-01-01 11:00:00,72.08,9685.5,1777.5
2023-01-01 12:00:00,66.78,9508.7,1315.9
2023-01-01 13:00:00,67.56,9996.1,1660.4
2023-01-01 14:00:00,75.07,10124.9,1511.3
2023-01-01 15:00:00,85.37,10121.7,1067.3
2023-01-01 16:00:00,96.82,10934.7,923.7
2023-01-01 17:00:00,104.34,10829.7,767.9
2023-01-01 18:00:00,107.27,11517.5,936.3
2023-01-01 19:00:00,84.1,10839.3,1443.2
2023-01-01 20:00:00,66.72,9971.2,1921.1
2023-01-01 21:00:00,51.25,8749.4,1997.1
2023-01-01 22:00:00,49.5,8168.6,1928.5
2023-01-01 23:00:00,41.25,7084.1,1703.1
2023-01-02 00:00:00,43.24,7527.0,985.8
2023-01-02 01:00:00,39.51,7624.8,1001.9
2023-01-02 02:00:00,55.51,8266.3,673.5
2023-01-02 03:00:00,50.84,8907.9,1206.3
2023-01-02 04:00:00,65.26,9701.5,1144.0
2023-01-02 05:00:00,73.45,10429.2,1474.7
2023-01-02 06:00:00,99.72,11523.6,1291.8
2023-01-02 07:00:00,96.46,10978.9,1043.4
2023-01-02 08:00:00,87.6,10992.1,1334.7
2023-01-02 09:00:00,75.97,10777.2,1487.1
2023-01-02 10:00:00,81.81,11075.4,1653.4
2023-01-02 11:00:00,86.66,11125.0,1640.0
2023-01-02 12:00:00,76.36,10752.4,1985.6
2023-01-02 13:00:00,74.21,10715.9,2258.9
2023-01-02 14:00:00,93.14,11071.2,1353.7
2023-01-02 15:00:00,109.63,12042.6,1250.9
2023-01-02 16:00:00,117.52,12569.9,1673.2
2023-01-02 17:00:00,129.85,12883.8,1247.7
2023-01-02 18:00:00,141.02,12503.5,556.0
2023-01-02 19:00:00,146.38,12427.8,529.0
2023-01-02 20:00:00,105.09,11439.6,775.3
2023-01-02 21:00:00,87.36,10221.4,611.9
2023-01-02 22:00:00,60.64,9192.6,1176.6
2023-01-02 23:00:00,40.46,8145.9,1960.6
2023-01-03 00:00:00,46.8,7783.8,1174.0
2023-01-03 01:00:00,43.64,7725.3,1036.3
2023-01-03 02:00:00,62.67,8210.7,114.8
2023-01-03 03:00:00,67.94,8982.2,425.6
2023-01-03 04:00:00,77.95,9168.1,176.5
2023-01-03 05:00:00,94.55,10202.0,51.8
2023-01-03 06:00:00,95.18,10679.9,529.6
2023-01-03 07:00:00,101.77,10906.4,65.4
2023-01-03 08:00:00,115.21,11076.5,86.0
2023-01-03 09:00:00,126.0,11547.6,107.4
2023-01-03 10:00:00,101.9,10596.8,125.7
2023-01-03 11:00:00,120.28,11078.1,137.9
2023-01-03 12:00:00,102.42,10249.2,142.1
2023-01-03 13:00:00,112.54,10887.5,137.9
2023-01-03 14:00:00,126.9,11412.5,125.7
2023-01-03 15:00:00,127.83,12025.2,654.6
2023-01-03 16:00:00,142.19,12563.8,565.5
2023-01-03 17:00:00,165.27,12984.8,77.7
2023-01-03 18:00:00,148.61,12630.5,616.0
2023-01-03 19:00:00,134.01,12176.2,176.7
2023-01-03 20:00:00,131.44,11698.4,61.0
2023-01-03 21:00:00,102.35,10101.1,51.8
2023-01-03 22:00:00,69.35,8619.5,51.8
2023-01-03 23:00:00,62.18,7820.0,51.8
2023-01-04 00:00:00,52.72,7421.1,51.8
2023-01-04 01:00:00,50.97,7827.9,51.8
2023-01-04 02:00:00,65.31,8178.2,51.8
2023-01-04 03:00:00,79.29,9001.6,51.8
2023-01-04 04:00:00,75.45,9468.2,51.8
2023-01-04 05:00:00,97.65,10354.1,51.8
2023-01-04 06:00:00,111.05,11040.7,51.8
2023-01-04 07:00:00,108.29,11020.9,67.5
2023-01-04 08:00:00,122.65,11326.4,91.2
2023-01-04 09:00:00,106.77,10837.0,115.8
2023-01-04 10:00:00,103.21,10765.4,134.4
2023-01-04 11:00:00,104.93,10646.5,116.8
2023-01-04 12:00:00,102.03,10411.2,112.6
2023-01-04 13:00:00,115.33,11163.3,143.7
2023-01-04 14:00:00,117.05,11201.8,136.9
2023-01-04 15:00:00,129.9,11826.8,115.8
2023-01-04 16:00:00,150.44,12484.0,91.2
2023-01-04 17:00:00,163.22,12858.2,66.1
2023-01-04 18:00:00,165.4,13024.3,51.8
2023-01-04 19:00:00,144.4,12316.1,51.8
2023-01-04 20:00:00,116.03,11264.7,51.8
2023-01-04 21:00:00,93.99,10139.3,51.8
2023-01-04 22:00:00,64.56,8512.4,51.8
2023-01-04 23:00:00,48.65,7747.0,51.8
2023-01-05 00:00:00,45.42,7331.5,51.8
2023-01-05 01:00:00,51.9,7485.0,51.8
2023-01-05 02:00:00,58.45,8244.2,51.8
2023-01-05 03:00:00,64.09,8582.7,51.8
2023-01-05 04:00:00,85.06,9485.9,51.8
2023-01-05 05:00:00,102.43,10710.8,51.8
2023-01-05 06:00:00,92.31,10725.6,149.5
2023-01-05 07:00:00,111.12,11374.6,219.9
2023-01-05 08:00:00,102.04,10864.5,405.7
2023-01-05 09:00:00,107.38,10992.6,124.9
2023-01-05 10:00:00,93.36,10577.7,425.8
2023-01-05 11:00:00,103.08,10664.4,424.6
2023-01-05 12:00:00,102.45,11075.1,649.1
2023-01-05 13:00:00,83.02,10436.4,1048.4
2023-01-05 14:00:00,103.32,11514.3,1008.8
2023-01-05 15:00:00,126.52,11911.2,730.1
2023-01-05 16:00:00,136.48,12091.7,92.6
2023-01-05 17:00:00,142.12,12142.4,63.9
2023-01-05 18:00:00,160.95,12801.9,51.8
2023-01-05 19:00:00,146.02,12161.0,51.8
2023-01-05 20:00:00,122.62,11493.6,51.8
2023-01-05 21:00:00,92.7,10174.2,53.8
2023-01-05 22:00:00,82.56,9400.7,51.8
2023-01-05 23:00:00,67.4,8043.5,51.8
2023-01-06 00:00:00,50.63,7402.6,51.8
2023-01-06 01:00:00,53.57,7760.0,51.8
2023-01-06 02:00:00,68.89,8203.1,51.8
2023-01-06 03:00:00,72.3,9185.2,51.8
2023-01-06 04:00:00,83.6,9838.6,51.8
2023-01-06 05:00:00,96.9,10423.0,51.8
2023-01-06 06:00:00,109.86,11321.3,415.4
2023-01-06 07:00:00,99.09,10735.2,377.0
2023-01-06 08:00:00,113.37,10966.8,102.7
2023-01-06 09:00:00,96.76,10757.0,294.7
2023-01-06 10:00:00,95.01,10764.4,741.9
2023-01-06 11:00:00,88.92,10332.6,1049.9
2023-01-06 12:00:00,92.75,11012.4,772.9
2023-01-06 13:00:00,103.97,10937.1,351.9
2023-01-06 14:00:00,105.37,10868.3,591.5
2023-01-06 15:00:00,123.33,11470.4,228.6
2023-01-06 16:00:00,147.41,12431.2,105.8
2023-01-06 17:00:00,135.05,13016.7,1318.2
2023-01-06 18:00:00,127.16,13544.1,2200.1
2023-01-06 19:00:00,113.01,13442.2,2534.6
2023-01-06 20:00:00,83.81,11559.8,2260.9
2023-01-06 21:00:00,59.59,9869.1,1966.3
2023-01-06 22:00:00,48.75,8398.8,2272.5
2023-01-06 23:00:00,33.2,8169.6,2897.9
2023-01-07 00:00:00,26.66,6558.8,2682.2
